,species,individuals,ph,salinity,precip,co3,c,p,ca,mg
species,1.0,-0.1079053906903326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individuals,-0.1079053906903326,1.0,-0.01253480612157919,-0.035901015620694435,-0.09145416999104726,-0.07769458505329198,0.06871590203314555,-0.014635031634807765,0.027715251719041236,0.02520908133157526
ph,0.0,-0.01253480612157919,1.0,-0.2702314203872323,0.0,0.15266194064095182,-0.2736378390596852,0.03376139544244962,-0.31411122875777664,-0.24491142771978722
salinity,0.0,-0.035901015620694435,-0.2702314203872323,1.0,0.0,0.34550337604277026,0.135739414163089,-0.2954991641336284,-0.25674078427056213,0.05193309337043491
precip,0.0,-0.09145416999104726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
co3,0.0,-0.07769458505329198,0.15266194064095182,0.34550337604277026,0.0,1.0,-0.22081112113008936,0.07407140510837766,-0.12649144927235692,-0.12282947554505372
c,0.0,0.06871590203314555,-0.2736378390596852,0.135739414163089,0.0,-0.22081112113008936,1.0,-0.009478501659688967,0.3681019778192006,0.34376622708481336
p,0.0,-0.014635031634807765,0.03376139544244962,-0.2954991641336284,0.0,0.07407140510837766,-0.009478501659688967,1.0,0.35116636096529097,0.24026151698501047
ca,0.0,0.027715251719041236,-0.31411122875777664,-0.25674078427056213,0.0,-0.12649144927235692,0.3681019778192006,0.35116636096529097,1.0,0.47131828281237215
mg,0.0,0.02520908133157526,-0.24491142771978722,0.05193309337043491,0.0,-0.12282947554505372,0.34376622708481336,0.24026151698501047,0.47131828281237215,1.0
